"","Player","WAR","H","HR","BB","SO","HBP","BF","Tm"
"1","Framber Valdez*",4.5,140,13,55,169,6,703,"Houston Astros"
"2","Hunter Brown",2.6,156,18,60,179,5,712,"Houston Astros"
"3","Ronel Blanco",4.5,114,22,68,166,2,676,"Houston Astros"
"4","Spencer Arrighetti",0.3,139,21,65,171,7,632,"Houston Astros"
"5","Justin Verlander",-0.3,98,15,27,74,6,396,"Houston Astros"
