"","Player","WAR","H","HR","BB","SO","HBP","BF","Tm"
"1","Evan Phillips",-0.6,48,6,17,63,1,228,"Los-Angeles Dodgers"
"2","Alex Vesia*",1.6,33,7,33,87,1,263,"Los-Angeles Dodgers"
"3","Daniel Hudson",0.5,46,10,19,63,1,253,"Los-Angeles Dodgers"
"4","Anthony Banda*",0.5,44,5,18,50,2,209,"Los-Angeles Dodgers"
"5","Blake Treinen",1.4,33,5,11,56,2,184,"Los-Angeles Dodgers"
